2019-10-11 10:56:07 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2019-10-11 10:56:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-10-11 10:56:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-10-11 10:56:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-10-11 10:56:07 INFO  Version:46 - HHH000412: Hibernate Core {5.4.5.Final}
2019-10-11 10:56:07 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2019-10-11 10:56:08 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd]
2019-10-11 10:56:08 WARN  deprecation:91 - HHH90000012: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/hibernate-configuration. Use namespace http://www.hibernate.org/dtd/hibernate-configuration instead.  Support for obsolete DTD/XSD namespaces may be removed at any time.
2019-10-11 10:56:08 DEBUG LocalXmlResourceResolver:95 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2019-10-11 10:56:08 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2019-10-11 10:56:08 DEBUG Configuration:722 - Building session factory using internal StandardServiceRegistryBuilder
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@584fc50f
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@584fc50f
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@4f7759e5
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@4f7759e5
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4f7759e5
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@7cdd0544
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@7cdd0544
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7cdd0544
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@34416d54
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@34416d54
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@34416d54
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@276594c0
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@276594c0
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@276594c0
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@1939b52b
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@1939b52b
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@1939b52b
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@1577af72
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@1577af72
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1577af72
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@591a7e7b
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@591a7e7b
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@706a8d
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@706a8d
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@7631dc88
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@7631dc88
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@7328983e
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@54c204f5
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@4db74526
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4db74526
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@b1d8560
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@b1d8560
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration Instant -> org.hibernate.type.InstantType@e68b6ff
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@e68b6ff
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@9f2be95
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@9f2be95
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@23422c57
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@23422c57
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2d99984c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2d99984c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@75de1052
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@75de1052
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@27153780
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@27153780
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5d9c8778
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5d9c8778
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration date -> org.hibernate.type.DateType@124a8f05
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@124a8f05
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration time -> org.hibernate.type.TimeType@65518f0c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@65518f0c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration timestamp -> org.hibernate.type.TimestampType@5b5bc077
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@5b5bc077
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@5b5bc077
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@26e0312c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration calendar -> org.hibernate.type.CalendarType@77b4d57a
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@77b4d57a
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@77b4d57a
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@7053d8a4
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration locale -> org.hibernate.type.LocaleType@1497dabb
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1497dabb
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration currency -> org.hibernate.type.CurrencyType@7d421aa8
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@7d421aa8
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@2018e62c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@2018e62c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration class -> org.hibernate.type.ClassType@1d5e46ee
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1d5e46ee
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@44704f4
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@44704f4
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1730ee2c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration binary -> org.hibernate.type.BinaryType@11063659
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration byte[] -> org.hibernate.type.BinaryType@11063659
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration [B -> org.hibernate.type.BinaryType@11063659
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@73f09913
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@73f09913
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@73f09913
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration row_version -> org.hibernate.type.RowVersionType@80a6963
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration image -> org.hibernate.type.ImageType@31ec6942
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration characters -> org.hibernate.type.CharArrayType@159573c7
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration char[] -> org.hibernate.type.CharArrayType@159573c7
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration [C -> org.hibernate.type.CharArrayType@159573c7
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@40ec937d
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@40ec937d
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@40ec937d
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration text -> org.hibernate.type.TextType@45c657a8
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration ntext -> org.hibernate.type.NTextType@1125b273
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration blob -> org.hibernate.type.BlobType@4737f832
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@4737f832
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@266e41e7
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration clob -> org.hibernate.type.ClobType@8847a5f
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@8847a5f
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration nclob -> org.hibernate.type.NClobType@34c58509
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@34c58509
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@45f4b958
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@4fb245fc
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration serializable -> org.hibernate.type.SerializableType@2944b1a1
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration object -> org.hibernate.type.ObjectType@12dfe4c6
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@12dfe4c6
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@43ebc079
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@12962ae5
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@1aa9358c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@4bc2d425
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@56b73d2c
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@7555e41d
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@2683aa6e
2019-10-11 10:56:08 DEBUG BasicTypeRegistry:156 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@7bbd3167
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2019-10-11 10:56:08 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2019-10-11 10:56:08 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-10-11 10:56:08 INFO  pooling:115 - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost/internetshop?serverTimezone=UTC]
2019-10-11 10:56:08 INFO  pooling:121 - HHH10001001: Connection properties: {password=1234, user=Valdes}
2019-10-11 10:56:08 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-10-11 10:56:08 DEBUG DriverManagerConnectionProviderImpl:384 - Initializing Connection pool with 1 Connections
2019-10-11 10:56:08 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-10-11 10:56:08 DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : MySQL
    version : 8.0.17
      major : 8
      minor : 0
2019-10-11 10:56:08 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.17 (Revision: 16a712ddb3f826a1933ab42b0039f7fb9eebc6ec)
      major : 8
      minor : 0
2019-10-11 10:56:08 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2019-10-11 10:56:08 INFO  Dialect:172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-10-11 10:56:08 DEBUG IdentifierHelperBuilder:113 - JDBC driver metadata reported database stores quoted identifiers in more than one case
2019-10-11 10:56:09 DEBUG IdentifierHelperBuilder:187 - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
2019-10-11 10:56:09 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2019-10-11 10:56:09 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@48d30743] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@43389813]
2019-10-11 10:56:09 DEBUG AnnotationBinder:557 - Binding entity from annotated class: mate.academy.internetshop.model.Item
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2019-10-11 10:56:09 DEBUG EntityBinder:430 - Import with entity name Item
2019-10-11 10:56:09 DEBUG EntityBinder:873 - Bind entity mate.academy.internetshop.model.Item on table items
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(items), mappingColumn=item_id, insertable=true, updatable=true, unique=false}
2019-10-11 10:56:09 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2019-10-11 10:56:09 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [mate.academy.internetshop.model.Item:id]
2019-10-11 10:56:09 DEBUG SimpleValueBinder:411 - building SimpleValue for id
2019-10-11 10:56:09 DEBUG PropertyBinder:266 - Building property id
2019-10-11 10:56:09 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(item_id)]), id, identity, , ...)
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(items), mappingColumn=description, insertable=true, updatable=true, unique=false}
2019-10-11 10:56:09 DEBUG PropertyBinder:175 - MetadataSourceProcessor property description with lazy=false
2019-10-11 10:56:09 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [mate.academy.internetshop.model.Item:description]
2019-10-11 10:56:09 DEBUG SimpleValueBinder:411 - building SimpleValue for description
2019-10-11 10:56:09 DEBUG PropertyBinder:266 - Building property description
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(items), mappingColumn=name, insertable=true, updatable=true, unique=false}
2019-10-11 10:56:09 DEBUG PropertyBinder:175 - MetadataSourceProcessor property name with lazy=false
2019-10-11 10:56:09 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [mate.academy.internetshop.model.Item:name]
2019-10-11 10:56:09 DEBUG SimpleValueBinder:411 - building SimpleValue for name
2019-10-11 10:56:09 DEBUG PropertyBinder:266 - Building property name
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(items), mappingColumn=price, insertable=true, updatable=true, unique=false}
2019-10-11 10:56:09 DEBUG PropertyBinder:175 - MetadataSourceProcessor property price with lazy=false
2019-10-11 10:56:09 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [mate.academy.internetshop.model.Item:price]
2019-10-11 10:56:09 DEBUG SimpleValueBinder:411 - building SimpleValue for price
2019-10-11 10:56:09 DEBUG PropertyBinder:266 - Building property price
2019-10-11 10:56:09 DEBUG AnnotationBinder:557 - Binding entity from annotated class: mate.academy.internetshop.model.Role
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2019-10-11 10:56:09 DEBUG EntityBinder:430 - Import with entity name Role
2019-10-11 10:56:09 DEBUG EntityBinder:873 - Bind entity mate.academy.internetshop.model.Role on table roles
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(roles), mappingColumn=role_id, insertable=true, updatable=true, unique=false}
2019-10-11 10:56:09 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2019-10-11 10:56:09 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [mate.academy.internetshop.model.Role:id]
2019-10-11 10:56:09 DEBUG SimpleValueBinder:411 - building SimpleValue for id
2019-10-11 10:56:09 DEBUG PropertyBinder:266 - Building property id
2019-10-11 10:56:09 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(role_id)]), id, identity, , ...)
2019-10-11 10:56:09 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(roles), mappingColumn=name, insertable=true, updatable=true, unique=false}
2019-10-11 10:56:09 DEBUG PropertyBinder:175 - MetadataSourceProcessor property roleName with lazy=false
2019-10-11 10:56:09 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [mate.academy.internetshop.model.Role:roleName]
2019-10-11 10:56:09 DEBUG SimpleValueBinder:411 - building SimpleValue for roleName
2019-10-11 10:56:09 DEBUG PropertyBinder:266 - Building property roleName
2019-10-11 10:56:09 DEBUG AnnotationBinder:557 - Binding entity from annotated class: mate.academy.internetshop.model.User
